location;name;category;companyUrl;description;followerCount
Belo Horizonte, Mg;Fc Sindico Profissional;Companies;https://www.linkedin.com/company/fc-sindico-profissional/;Locações não residenciais • Belo Horizonte, Mg;0
Contagem, Mg;Primordial Sindico Profissional;Companies;https://www.linkedin.com/company/primordial-sindico-profissional/;Locações não residenciais • Contagem, Mg;0
Belo Horizonte, Mg;Ssc Servicos Sindico Castelo;Companies;https://www.linkedin.com/company/ssc-servicos-sindico-castelo/;Locações não residenciais • Belo Horizonte, Mg;0
São Paulo, Sp;Tony Rafacho  Oabsp 93173  Advogado E Síndico Profissional;Companies;https://www.linkedin.com/company/tony-rafacho-oabsp-93173-advogado-e-s%C3%ADndico-profissional/;Locações não residenciais • São Paulo, Sp;0
;Loja Sindico;Companies;https://www.linkedin.com/company/loja-sindico/;São Paulo, Sp;3
Betim, Mg;Cabral Sindico Profissional;Companies;https://www.linkedin.com/company/cabral-sindico-profissional/;Setor imobiliário • Betim, Mg;1
Porto Alegre, Rs;inova sindico;Companies;https://www.linkedin.com/company/inova-sindico/;Setor imobiliário • Porto Alegre, Rs;1
Barbacena, Mg;Sr. Síndico Administração Imobiliária Ltda;Companies;https://www.linkedin.com/company/sr.-s%C3%ADndico-administra%C3%A7%C3%A3o-imobili%C3%A1ria-ltda/;Consultoria e serviços empresariais • Barbacena, Mg;1
Vitória, Es;Informe Síndico Online;Companies;https://www.linkedin.com/company/informe-s%C3%ADndico-online/;Serviços de eletricidade, gás, água e esgoto • Vitória, Es;1
Guarulhos, Sp;Oaps Sindico Profissional;Companies;https://www.linkedin.com/company/oaps-sindico-profissional/;Segurança e investigações • Guarulhos, Sp;1
São Paulo, Sp;Quero Sindico Profissional;Companies;https://www.linkedin.com/company/quero-sindico-profissional/;Serviços de eletricidade, gás, água e esgoto • São Paulo, Sp;1
Porto Alegre, Rs;Spinelli Soluções Condominiais - Síndico Profissional | Suporte Técnico para Condomínios;Companies;https://www.linkedin.com/company/spinelli-solu%C3%A7%C3%B5es-condominiais---s%C3%ADndico-profissional-suporte-t%C3%A9cnico-para-condom%C3%ADnios/;Varejo • Porto Alegre, Rs;1
